"x","y",""
-88.465,18.435,NA
-88.395,18.435,NA
-88.325,18.435,NA
-88.255,18.435,NA
-88.185,18.435,NA
-88.115,18.435,NA
-88.045,18.435,NA
-87.975,18.435,NA
-87.905,18.435,NA
-87.835,18.435,NA
-87.765,18.435,NA
-87.695,18.435,NA
-87.625,18.435,NA
-87.555,18.435,NA
-87.485,18.435,NA
-87.415,18.435,NA
-88.465,18.365,NA
-88.395,18.365,NA
-88.325,18.365,NA
-88.255,18.365,NA
-88.185,18.365,NA
-88.115,18.365,NA
-88.045,18.365,NA
-87.975,18.365,NA
-87.905,18.365,NA
-87.835,18.365,NA
-87.765,18.365,NA
-87.695,18.365,NA
-87.625,18.365,NA
-87.555,18.365,NA
-87.485,18.365,NA
-87.415,18.365,NA
-88.465,18.295,NA
-88.395,18.295,NA
-88.325,18.295,NA
-88.255,18.295,NA
-88.185,18.295,NA
-88.115,18.295,NA
-88.045,18.295,NA
-87.975,18.295,NA
-87.905,18.295,NA
-87.835,18.295,NA
-87.765,18.295,NA
-87.695,18.295,NA
-87.625,18.295,NA
-87.555,18.295,NA
-87.485,18.295,NA
-87.415,18.295,NA
-88.465,18.225,NA
-88.395,18.225,NA
-88.325,18.225,NA
-88.255,18.225,NA
-88.185,18.225,NA
-88.115,18.225,NA
-88.045,18.225,NA
-87.975,18.225,NA
-87.905,18.225,NA
-87.835,18.225,NA
-87.765,18.225,NA
-87.695,18.225,NA
-87.625,18.225,NA
-87.555,18.225,NA
-87.485,18.225,NA
-87.415,18.225,NA
-88.465,18.155,NA
-88.395,18.155,NA
-88.325,18.155,NA
-88.255,18.155,NA
-88.185,18.155,NA
-88.115,18.155,NA
-88.045,18.155,NA
-87.975,18.155,NA
-87.905,18.155,NA
-87.835,18.155,49.86
-87.765,18.155,NA
-87.695,18.155,NA
-87.625,18.155,NA
-87.555,18.155,NA
-87.485,18.155,NA
-87.415,18.155,NA
-88.465,18.085,NA
-88.395,18.085,NA
-88.325,18.085,NA
-88.255,18.085,NA
-88.185,18.085,NA
-88.115,18.085,NA
-88.045,18.085,NA
-87.975,18.085,390.42
-87.905,18.085,NA
-87.835,18.085,93.42
-87.765,18.085,NA
-87.695,18.085,NA
-87.625,18.085,NA
-87.555,18.085,NA
-87.485,18.085,NA
-87.415,18.085,NA
-88.465,18.015,NA
-88.395,18.015,NA
-88.325,18.015,NA
-88.255,18.015,NA
-88.185,18.015,NA
-88.115,18.015,NA
-88.045,18.015,4.68
-87.975,18.015,NA
-87.905,18.015,196.11
-87.835,18.015,NA
-87.765,18.015,NA
-87.695,18.015,NA
-87.625,18.015,NA
-87.555,18.015,NA
-87.485,18.015,NA
-87.415,18.015,NA
-88.465,17.945,NA
-88.395,17.945,NA
